epoch,train_loss,train_acc,lr,val_loss,val_acc
0,0.029654875484500395,0.9906166791915894,0.0,0.04017626363784075,0.9868999719619751
1,0.030805086543373134,0.9895666837692261,0.001,0.044813342345878485,0.9857000112533569
2,0.029761798174704535,0.9904833436012268,0.001,0.03831636689137667,0.9876999855041504
3,0.02733995732298847,0.9912333488464355,0.001,0.03930875870864838,0.987500011920929
4,0.028126741191214423,0.9907833337783813,0.001,0.03671757322736084,0.9876999855041504
5,0.027469282231877667,0.9908333420753479,0.001,0.042881969502195715,0.9868999719619751
