epoch,train_loss,train_acc,lr,val_loss,val_acc
1,0.7460046505040311,0.7923499941825867,0.001,0.14646310394164175,0.9591000080108643
2,0.14730318435963163,0.9567166566848755,0.001,0.09118404450709931,0.9728999733924866
3,0.10660235403065986,0.9682333469390869,0.001,0.07989167089108377,0.9745000004768372
4,0.08486351200399246,0.9740166664123535,0.001,0.059359127865172924,0.9811000227928162
5,0.07311796171868101,0.9777833223342896,0.001,0.0550868605983851,0.982200026512146
6,0.06282522977983698,0.9803000092506409,0.001,0.05130791653209599,0.983299970626831
7,0.056342323568273095,0.9824166893959045,0.001,0.04891311797691742,0.9850000143051147
8,0.05169731767332934,0.9835000038146973,0.001,0.05424253664241405,0.9835000038146973
9,0.04757112607835455,0.9847166538238525,0.001,0.05590543622674886,0.9811999797821045
10,0.04356726866928821,0.9856166839599609,0.001,0.04370780976314563,0.9854000210762024
11,0.03950074036466949,0.9872499704360962,0.001,0.04337507177187945,0.9866999983787537
12,0.038607694856584704,0.9874666929244995,0.001,0.03970316445011122,0.987500011920929
13,0.03297268521595508,0.9895166754722595,0.001,0.04419676806464849,0.9857000112533569
14,0.031140322291708374,0.9894499778747559,0.001,0.042461435580844406,0.98580002784729
15,0.030787358188288327,0.9900166392326355,0.001,0.04624540361110121,0.986299991607666
